name,team,pos,price,own_pct,default_proj,custom_avg,job_security,confidence,cs_score,notes,exclude
Reilly O'Brien,ADE,RUC,524200,0.784898,111,85,4,HIGH (if plays),,EMERGENCY for Adelaide. McAndrew has taken R1 ruck spot. O'Brien may return later but $524.2k price is now a TRAP. Do NOT select.,0
Lachlan McAndrew,ADE,RUC,119900,47.296,22,75,1,MEDIUM-HIGH,91,"AFL.com.au confirms No.1 ruck role at Adelaide. 91 SC in preseason. 25yo mature-ager, 96.8 avg in SANFL. REPLACES O'Brien as starting ruck. High ceiling if holds spot.",0
Sam Flanders,STK,FWD,396600,66.5384,66,75,2,HIGH,,"St Kilda recruit from Gold Coast. $396.6k mid-pricer, not basement. 95 SC in preseason. Experienced player in new system.",0
Jagga Smith,CAR,MID,119900,81.4087,22,72,1,HIGH,126,"Named in Carlton Opening Round team. 126 SC in preseason (37 disp, 1 goal). Former top-10 pick with elite disposal. Best rookie in the game.",0
Mattaes Phillipou,STK,FWD,168400,62.6511,21,62,2,MEDIUM,85,85 SC in preseason. FWD at St Kilda. Year 3 breakout candidate. 168.4k is cheap for his upside.,0
Dyson Sharp,ESS,MID,149500,62.5146,28,58,2,MEDIUM,65,In Essendon predicted 23. MID role at strong club. High ownership (62.5%) reflects consensus on quality. Steady cash generator.,0
Lachy Dovaston,NTH,FWD,136000,18.6851,25,58,2,MEDIUM,99,"In North predicted 23. 99 SC in preseason, kicked 2 goals. Fwd role at rebuilding club. Good scoring role but job security depends on form.",0
Zeke Uwland,GCS,DEF/MID,199000,42.2486,37,58,1,MEDIUM,62,Confirmed for Gold Coast Opening Round. DEF/MID DPP. Half-back/wing role. Academy product with 103 avg in Talent League 2024.,0
Jacob Farrow,ESS,DEF/MID,163000,31.1476,30,55,2,MEDIUM,68,In Essendon predicted 23. DEF/MID DPP. Impressive preseason. Playing across half-back.,0
Jai Serong,SYD,DEF,119900,61.1241,28,55,1,MEDIUM,55,Named in Sydney Opening Round team. Former Hawk traded to Swans. Playing halfback role. Solid but not spectacular preseason.,0
Todd Marshall,PTA,FWD,147900,36.4371,28,55,1,MEDIUM,85,"Ross Lyon confirmed he will ""definitely play round one"". 85 SC in preseason. FWD at Port. $147.9k basement price for an experienced player.",0
Tom Blamires,NTH,MID,99100,29.0633,18,55,2,MEDIUM,87,In North predicted 23. 87 SC in preseason at $99.1k (cheapest possible). MID at rebuild club = opportunity. Excellent value if holds spot.,0
Cooper Duff-Tytler,WCE,RUC/FWD,190000,18.6279,35,52,3,MEDIUM-LOW,84,84 SC in preseason. RUC/FWD at WCE. Decision between him and Archer Reid for bench spot. Could be excellent if gets ruck role.,0
Deven Robertson,WCE,FWD,119900,64.114,14,52,2,MEDIUM,94,"94 SC in preseason for West Coast. FWD-only but at a rebuilding club. Former Brisbane player, experienced at AFL level (4 prev games).",0
Harry Schoenberg,WCE,MID,119900,5.68741,25,50,3,MEDIUM,,"SUSPENDED Round 1, available Round 2. MID at West Coast. Has AFL experience (1 game). Wait for R2.",0
Josh Lindsay,WCE,DEF,122500,56.5692,23,50,2,MEDIUM,58,In West Coast predicted 23 at DEF. Rebuilding club = opportunity. DEF-only limits ceiling slightly.,0
Liam Reidy,CAR,RUC/FWD,119900,55.0574,27,30,1,MEDIUM,56,"Named in Carlton Opening Round team. RUC/FWD DPP is gold. Will play as bench ruck/utility, not main ruck. Score floor ~35, ceiling ~65.",0
Charlie Edwards,ADE,DEF/MID,119900,4.09899,22,48,2,MEDIUM-LOW,,"In Adelaide predicted 23. DEF/MID DPP. ""Impressive summer"" per AFL reporters. Could debut R1.",0
Jack Carroll,STK,MID,119900,23.0262,24,48,3,MEDIUM-LOW,42,MID at St Kilda. 3 prev games. Not in predicted best 23 but 23% owned. Could earn spot.,0
Josh Gibcus,RIC,DEF,139600,19.9204,28,48,2,MEDIUM,72,Returning from ACL at Richmond. DEF role. 72 SC in preseason. 19.9% ownership. Risk is match fitness/conditioning early.,0
Leonardo Lombard,GCS,FWD,119900,49.621,16,48,2,MEDIUM-LOW,71,In Gold Coast predicted 23 as small forward. Fwd-only = lower SC ceiling. Scoring will be volatile.,0
Patrick Retschko,RIC,MID,119900,10.6182,22,48,3,MEDIUM-LOW,,"Reports say he has a wing spot at Richmond locked in, but only appeared in 2nd half of preseason game. MID at Richmond.",0
Arthur Jones,WBD,MID/FWD,119900,12.6563,30,45,3,LOW,,MID/FWD at Bulldogs. 4 prev games. Not in predicted best 23.,0
Finlay Macrae,WCE,MID/FWD,119900,39.6256,26,45,3,LOW,48,MID/FWD at West Coast. Many young mids competing for spots. High ownership (39.6%) suggests consensus but job security is the risk.,0
Lachie Jaques,WBD,DEF,119900,24.6795,22,45,2,MEDIUM,40,"ESPN says ""leading the way"" for Dogs defensive spot. DEF at Western Bulldogs. 24.7% owned.",0
Will Brodie,PTA,MID,119900,39.1339,32,45,2,MEDIUM-LOW,45,"In Port predicted 23 (Ewan Mackinlay). Wait - Will Brodie is at Port? 39.1% owned. MID but depth piece, scoring ceiling limited by role.",0
Hussien El Achkar,ESS,FWD,113500,2.02432,21,42,2,MEDIUM-LOW,,In Essendon predicted 23 as small forward. FWD-only. Low SC ceiling in that role.,0
Talor Byrne,CAR,MID/FWD,113500,3.80448,21,42,3,LOW,,NOT named in Carlton Opening Round team (was emergency). MID/FWD. May come in later.,0
Kalani White,MEL,RUC/FWD,99100,14.0999,18,40,4,LOW,,"Glandular fever, recovery time TBC. RUC/FWD DPP at Melbourne is great. Wait for fitness update.",1
Lachlan Carmichael,WBD,DEF/MID,113500,16.2718,21,40,3,LOW,,"DEF/MID at Bulldogs. Returning from ankle syndesmosis. ESPN says ""would have been there with full training block.""",0
Matt Whitlock,NTH,DEF/FWD,119900,5.30392,20,40,4,LOW,,DEF/FWD at North. 2 prev games. 5.3% owned. Not in predicted best 23.,0
Josaia Delana,GWS,FWD,119900,0.31658,25,38,2,LOW,,In GWS predicted 23 due to injuries. FWD at Giants. May lose spot when others return.,0
Jack Watkins,PTA,MID,99100,8.68768,18,35,4,LOW,,MID at Port Adelaide. Crowded midfield. Not in predicted best 23.,0
Kye Fincher,STK,DEF/MID,113500,3.55687,21,35,4,LOW,,DEF/MID at St Kilda. Not in predicted best 23. 3.6% ownership.,0
Leon Kickett,FRE,MID/FWD,99100,13.8819,18,35,4,LOW,,MID/FWD at Fremantle. Not in predicted best 23. 13.9% ownership seems high for his prospects.,0
Oliver Greeves,HAW,MID,99100,10.0292,18,35,4,LOW,,MID at Hawthorn. Crowded midfield. Not in predicted best 23. 10% ownership is speculative.,0
Wade Derksen,CAR,DEF,99100,25.3264,18,35,4,LOW,35,NOT named in Carlton Opening Round team. Was emergency. 25.3% ownership now at risk. Avoid until named.,0
